,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
539,539,401,154000,False,substation,False,transmission,0.0,127.9115,35.399,KR,POINT (127.9115 35.399),True
540,540,402,154000,False,substation,False,transmission,0.0,127.1794,35.8421,KR,POINT (127.1794 35.8421),True
541,541,403,154000,False,substation,False,transmission,0.0,128.0683,35.5461,KR,POINT (128.0683 35.5461),True
542,542,404,154000,False,substation,False,transmission,0.0,128.1647,35.582,KR,POINT (128.1647 35.582),True
543,543,405,154000,False,substation,False,transmission,0.0,127.9137,35.6656,KR,POINT (127.9137 35.6656),True
544,544,406,154000,False,substation,False,transmission,0.0,126.4802,35.282,KR,POINT (126.4802 35.282),True
545,545,407,154000,False,substation,False,transmission,0.0,126.7529,35.1339,KR,POINT (126.7529 35.1339),True
546,546,408,154000,False,substation,False,transmission,0.0,127.8268,35.054,KR,POINT (127.8268 35.054),True
547,547,409,154000,False,substation,False,transmission,0.0,126.8364,35.2296,KR,POINT (126.8364 35.2296),True
548,548,410,154000,False,substation,False,transmission,0.0,128.3582,36.0814,KR,POINT (128.3582 36.0814),True
549,549,411,145000,False,substation,False,transmission,0.0,129.2599,35.364,KR,POINT (129.2599 35.364),True
550,550,411,154000,False,substation,False,transmission,0.0,129.2609,35.365,KR,POINT (129.2609 35.365),False
551,551,412,154000,False,substation,False,transmission,0.0,129.481,35.9647,KR,POINT (129.481 35.9647),True
552,552,413,154000,False,substation,False,transmission,0.0,129.2442,35.9193,KR,POINT (129.2442 35.9193),True
553,553,414,154000,False,substation,False,transmission,0.0,128.9458,35.9064,KR,POINT (128.9458 35.9064),True
554,554,415,154000,False,substation,False,transmission,0.0,128.922,35.8634,KR,POINT (128.922 35.8634),True
555,555,416,154000,False,substation,False,transmission,0.0,128.1489,36.4219,KR,POINT (128.1489 36.4219),True
556,556,417,154000,False,substation,False,transmission,0.0,129.3456,36.1549,KR,POINT (129.3456 36.1549),True
557,557,418,154000,False,substation,False,transmission,0.0,129.3047,36.0849,KR,POINT (129.3047 36.0849),True
558,558,419,154000,False,substation,False,transmission,0.0,129.4108,36.0926,KR,POINT (129.4108 36.0926),True
559,559,420,154000,False,substation,False,transmission,0.0,126.9495,37.8339,KR,POINT (126.9495 37.8339),True
560,560,420,345000,False,substation,False,transmission,0.0,126.9505,37.8349,KR,POINT (126.9505 37.8349),False
561,561,421,154000,False,substation,False,transmission,0.0,127.65,36.8102,KR,POINT (127.65 36.8102),True
562,562,422,154000,False,substation,False,transmission,0.0,128.4889,35.3576,KR,POINT (128.4889 35.3576),True
563,563,423,154000,False,substation,False,transmission,0.0,126.8489,35.5921,KR,POINT (126.8489 35.5921),True
564,564,424,154000,False,substation,False,transmission,0.0,127.6498,37.9756,KR,POINT (127.6498 37.9756),True
565,565,425,154000,False,substation,False,transmission,0.0,127.4929,37.8149,KR,POINT (127.4929 37.8149),True
566,566,426,154000,False,substation,False,transmission,0.0,127.7257,37.7777,KR,POINT (127.7257 37.7777),True
567,567,427,154000,False,substation,False,transmission,0.0,128.5758,38.0924,KR,POINT (128.5758 38.0924),True
568,568,428,154000,False,substation,False,transmission,0.0,129.1837,37.4266,KR,POINT (129.1837 37.4266),True
