,id,Type,Region,tags.power,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.location,tags.generator:plant,tags.ref,other_tags,geometry,Country
4365,7606056348,node,KR,generator,combustion,400.0,oil,steam_turbine,NULL,NULL,NULL,NULL,POINT (129.38117289999963 35.47569350000014),KR
4366,7606056349,node,KR,generator,combustion,400.0,oil,steam_turbine,NULL,NULL,NULL,NULL,POINT (129.38148019999963 35.47607930000014),KR
4367,7606056350,node,KR,generator,combustion,1020.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.50524019999963 37.05675250000014),KR
4368,7606056351,node,KR,generator,combustion,1020.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.50638819999963 37.05644430000014),KR
4369,7606056352,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.50790089999964 37.05573370000014),KR
4370,7606056353,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.50890189999964 37.05546740000014),KR
4371,7606056354,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.50967439999964 37.05526190000014),KR
4372,7606056355,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.51061099999964 37.05501270000014),KR
4373,7606056356,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.51189849999965 37.05467020000014),KR
4374,7606056357,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.51273209999965 37.05444850000014),KR
4375,7606056358,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.51360759999966 37.05421560000014),KR
4376,7606056359,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.51453139999965 37.05396980000014),KR
4377,7606685378,node,KR,generator,combustion,480.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.96603829999964 37.3944326000002),KR
4378,7606685379,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.96734189999964 37.3939084000002),KR
4379,7607270789,node,KR,generator,combustion,125.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (128.98134829999947 37.73835340000022),KR
4380,7607270790,node,KR,generator,combustion,200.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (128.98154679999948 37.738815800000225),KR
4381,7607270791,node,KR,generator,combustion,560.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (128.10869689999947 34.913015300000225),KR
4382,7607270792,node,KR,generator,combustion,560.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (128.10919049999947 34.91239060000022),KR
4383,7607270793,node,KR,generator,combustion,560.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (128.10964109999946 34.91179240000022),KR
4384,7607270794,node,KR,generator,combustion,560.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (128.11020969999947 34.911106100000225),KR
4385,7607270795,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (128.11070319999948 34.91049910000022),KR
4386,7607270796,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (128.11120749999947 34.90985680000022),KR
4387,7607270842,node,KR,generator,combustion,348.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (127.14807989999949 37.36433330000022),KR
4388,7607270843,node,KR,generator,combustion,574.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (127.14617549999949 37.36445700000022),KR
4390,7607270845,node,KR,generator,combustion,350.0,oil,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.7961418999995 37.00366220000022),KR
4391,7607270846,node,KR,generator,combustion,350.0,oil,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.7950045999995 37.00467760000022),KR
4392,7607270847,node,KR,generator,combustion,350.0,oil,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.7954873999995 37.00420630000022),KR
4393,7607270848,node,KR,generator,combustion,350.0,oil,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.79455399999951 37.00514020000022),KR
4395,7607270850,node,KR,generator,combustion,718.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.73063429999951 35.98356690000022),KR
4396,7607270861,node,KR,generator,combustion,250.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.7352690999995 34.85355530000022),KR
4397,7607270862,node,KR,generator,combustion,250.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.7344858999995 34.853511300000214),KR
4398,7607270863,node,KR,generator,combustion,200.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (129.1458749999995 37.485798500000215),KR
4399,7607270864,node,KR,generator,combustion,200.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (129.1462182999995 37.485398500000215),KR
4400,7608909948,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.82011269999931 34.95533100000024),KR
4401,7608909949,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.82042979999932 34.95466800000024),KR
4402,7608909950,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.82080699999932 34.95387940000024),KR
4403,7608909951,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.82112259999931 34.95321950000024),KR
4404,7608909952,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.82174789999931 34.951912100000236),KR
4405,7608909953,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.8214678999993 34.952497500000234),KR
4406,7608909954,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.8220919999993 34.951192800000236),KR
4407,7608909955,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (127.8224300999993 34.950485700000236),KR
4411,7609563641,node,KR,generator,combustion,105.0,biomass,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.78289169999935 36.957856700000285),KR
4412,7609585490,node,KR,generator,combustion,1000.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.48520949999936 36.3842717000003),KR
4413,7609585491,node,KR,generator,combustion,1000.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.48518799999935 36.3852391000003),KR
4416,7610843709,node,KR,generator,combustion,595.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (129.1475056999993 37.479234500000366),KR
4417,7610843710,node,KR,generator,combustion,595.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (129.1470336999993 37.47968570000037),KR
4418,7641971498,node,KR,generator,wind_turbine,0.0,wind,NULL,NULL,NULL,1,NULL,POINT (126.77335289999944 33.560537800000084),KR
4428,7740294557,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,10,NULL,POINT (128.72499670000056 37.746446399999854),KR
4431,7740294560,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,11,NULL,POINT (128.72138200000055 37.743896399999855),KR
4432,7740294561,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,12,NULL,POINT (128.72160700000055 37.738830299999854),KR
