,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
907,transf_163_0,268,269,154000,345000,KR,"LINESTRING (129.1763 35.4065, 129.1773 35.4075)","MULTIPOINT ((129.1763 35.4065), (129.1773 35.4075))",POINT (129.1763 35.4065),POINT (129.1773 35.4075),129.1763,35.4065,129.1773,35.4075
908,transf_170_0,276,277,154000,345000,KR,"LINESTRING (127.2277 37.5441, 127.2287 37.5451)","MULTIPOINT ((127.2277 37.5441), (127.2287 37.5451))",POINT (127.2277 37.5441),POINT (127.2287 37.5451),127.2277,37.5441,127.2287,37.5451
909,transf_175_0,282,283,154000,345000,KR,"LINESTRING (126.9041 37.6001, 126.9051 37.6011)","MULTIPOINT ((126.9041 37.6001), (126.9051 37.6011))",POINT (126.9041 37.6001),POINT (126.9051 37.6011),126.9041,37.6001,126.9051,37.6011
910,transf_176_0,284,285,154000,345000,KR,"LINESTRING (127.0454 37.6223, 127.0464 37.6233)","MULTIPOINT ((127.0454 37.6223), (127.0464 37.6233))",POINT (127.0454 37.6223),POINT (127.0464 37.6233),127.0454,37.6223,127.0464,37.6233
911,transf_179_0,288,289,154000,345000,KR,"LINESTRING (127.2351 37.8002, 127.2361 37.8012)","MULTIPOINT ((127.2351 37.8002), (127.2361 37.8012))",POINT (127.2351 37.8002),POINT (127.2361 37.8012),127.2351,37.8002,127.2361,37.8012
912,transf_193_0,303,304,154000,345000,KR,"LINESTRING (127.5498 37.7477, 127.5508 37.7487)","MULTIPOINT ((127.5498 37.7477), (127.5508 37.7487))",POINT (127.5498 37.7477),POINT (127.5508 37.7487),127.5498,37.7477,127.5508,37.7487
913,transf_193_1,304,305,345000,354000,KR,"LINESTRING (127.5508 37.7487, 127.5518 37.7497)","MULTIPOINT ((127.5508 37.7487), (127.5518 37.7497))",POINT (127.5508 37.7487),POINT (127.5518 37.7497),127.5508,37.7487,127.5518,37.7497
914,transf_194_0,306,307,154000,345000,KR,"LINESTRING (127.0279 37.9576, 127.0289 37.9586)","MULTIPOINT ((127.0279 37.9576), (127.0289 37.9586))",POINT (127.0279 37.9576),POINT (127.0289 37.9586),127.0279,37.9576,127.0289,37.9586
915,transf_195_0,308,309,154000,345000,KR,"LINESTRING (129.053 35.1927, 129.054 35.1937)","MULTIPOINT ((129.053 35.1927), (129.054 35.1937))",POINT (129.053 35.1927),POINT (129.054 35.1937),129.053,35.1927,129.054,35.1937
916,transf_203_0,317,318,154000,345000,KR,"LINESTRING (129.1707 35.1906, 129.1717 35.1916)","MULTIPOINT ((129.1707 35.1906), (129.1717 35.1916))",POINT (129.1707 35.1906),POINT (129.1717 35.1916),129.1707,35.1906,129.1717,35.1916
917,transf_203_1,318,319,345000,354000,KR,"LINESTRING (129.1717 35.1916, 129.1727 35.1926)","MULTIPOINT ((129.1717 35.1916), (129.1727 35.1926))",POINT (129.1717 35.1916),POINT (129.1727 35.1926),129.1717,35.1916,129.1727,35.1926
918,transf_204_0,320,321,154000,345000,KR,"LINESTRING (128.9077 35.81, 128.9087 35.811)","MULTIPOINT ((128.9077 35.81), (128.9087 35.811))",POINT (128.9077 35.81),POINT (128.9087 35.811),128.9077,35.81,128.9087,35.811
919,transf_204_1,321,322,345000,354000,KR,"LINESTRING (128.9087 35.811, 128.9097 35.812)","MULTIPOINT ((128.9087 35.811), (128.9097 35.812))",POINT (128.9087 35.811),POINT (128.9097 35.812),128.9087,35.811,128.9097,35.812
920,transf_220_0,339,340,154000,345000,KR,"LINESTRING (127.8054 37.0194, 127.8064 37.0204)","MULTIPOINT ((127.8054 37.0194), (127.8064 37.0204))",POINT (127.8054 37.0194),POINT (127.8064 37.0204),127.8054,37.0194,127.8064,37.0204
921,transf_231_0,351,352,154000,345000,KR,"LINESTRING (126.6854 37.5486, 126.6864 37.5496)","MULTIPOINT ((126.6854 37.5486), (126.6864 37.5496))",POINT (126.6854 37.5486),POINT (126.6864 37.5496),126.6854,37.5486,126.6864,37.5496
922,transf_240_0,361,362,154000,345000,KR,"LINESTRING (126.4557 36.8468, 126.4567 36.8478)","MULTIPOINT ((126.4557 36.8468), (126.4567 36.8478))",POINT (126.4557 36.8468),POINT (126.4567 36.8478),126.4557,36.8468,126.4567,36.8478
923,transf_241_0,363,364,154000,345000,KR,"LINESTRING (126.2238 36.9003, 126.2248 36.9013)","MULTIPOINT ((126.2238 36.9003), (126.2248 36.9013))",POINT (126.2238 36.9003),POINT (126.2248 36.9013),126.2238,36.9003,126.2248,36.9013
